Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e4845d6ada80743b38e29ce91aefd1c2ecca37a58e12a170e25e5a4ff3e7db45,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.023022,51.512316,On or near CANTON STREET,E01004253,Tower Hamlets 024B,Investigation complete; no suspect identified
ef3750829d13544ae452b3d862148bd4ef29e6c21c7514f860aee0bdba579595,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.010782,51.508782,On or near POPLAR HIGH STREET,E01004219,Tower Hamlets 028B,Investigation complete; no suspect identified
c943216cec4f2717861e6dbd816fca9eddf90529c6ffdba5a754da2f45923ac0,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.050874,51.507747,On or near GLAMIS ROAD,E01004297,Tower Hamlets 027C,Investigation complete; no suspect identified
ca6466859a401ddda41cf9dbb101462e7a1b55381c3739a8e478a2dbaa02e3eb,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.020847,51.49799,On or near CASSILIS ROAD,E01032773,Tower Hamlets 032D,Investigation complete; no suspect identified
2da967cbe2f9b3c8303fd63682645eed732c68813d99fa84f6fccc906370aaf3,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.027399,51.528433,On or near BENWORTH STREET,E01004229,Tower Hamlets 004C,Investigation complete; no suspect identified
b404082dfbbe3d0b9f73aa1be996f77d9ab22de753ec13bae4414be73d612721,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.028943,51.521391,On or near MARITIME STREET,E01004270,Tower Hamlets 014B,Investigation complete; no suspect identified
caa4412c3cabe70b1c0f265dc92591909df3db1fb98cec24179aca43c0b69fe7,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.011274,51.516335,On or near SPEY STREET,E01004249,Tower Hamlets 018D,Investigation complete; no suspect identified
e3d13024c2739962fb4da4cab087f187aa382cd6debc3945083814bbac2c4652,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.033352,51.512058,On or near WHARF LANE,E01004254,Tower Hamlets 023B,Investigation complete; no suspect identified
76a36807517a1c4dfbd96e99581c76bfb1376f18d7ce1499056925e53c95d0fe,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.068304,51.510976,On or near LEMAN STREET,E01004294,Tower Hamlets 026B,Investigation complete; no suspect identified
7836ec146792607c0fe1109276ef476d8668888cc3ee7637f21b875b0041be0e,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.008232,51.507102,On or near Pedestrian Subway,E01004219,Tower Hamlets 028B,Investigation complete; no suspect identified
8a0cd515a08d49868487721eb6ff94ae0f6a6af2418a555a6fc9a031b77e998f,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.195726,51.356939,On or near CONWAY DRIVE,E01004152,Sutton 018A,Investigation complete; no suspect identified
3b367c557bd9d53417aa9b53c6ab5169e270ac260959585c128bb16d6d4f5a85,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.029171,51.549487,On or near LEE CONSERVANCY ROAD,E01001846,Hackney 018A,Investigation complete; no suspect identified
