Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
97c78822ddeccafd79b1b480691afcbd33eed2805cbedeeb60570ef24a0bf54d,2021-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
066769420238add1ef9ca760fc46ae3ffe89ad4142496be8d54c8b97264d57ac,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.020232,51.568014,On or near LEASOWES ROAD,E01004426,Waltham Forest 022D,Investigation complete; no suspect identified
9cc7f28b877872815a79ae8aa4c3034843442e0b9fb55b7a18ead971bb818588,2021-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d68f575b0fbabc1ab2661204c6f57eb625e88c389e405a5318a353f0e5b72ef2,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.001821,51.605813,On or near WINCHESTER ROAD,E01004381,Waltham Forest 007C,Investigation complete; no suspect identified
2dbc94329539169832aa5c703fb78953f2db4567569ad9591024b31757217753,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.009692,51.604906,On or near THE OAKS,E01004380,Waltham Forest 007B,Investigation complete; no suspect identified
2dbc94329539169832aa5c703fb78953f2db4567569ad9591024b31757217753,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.009692,51.604906,On or near THE OAKS,E01004380,Waltham Forest 007B,Investigation complete; no suspect identified
df211f55d627400881f8cde363a34da6032ae528eece5fd1eb16abfd30561d54,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.008802,51.597757,On or near Sports/Recreation Area,E01004345,Waltham Forest 010A,Investigation complete; no suspect identified
df211f55d627400881f8cde363a34da6032ae528eece5fd1eb16abfd30561d54,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.008802,51.597757,On or near Sports/Recreation Area,E01004345,Waltham Forest 010A,Investigation complete; no suspect identified
a2a3f928b833dfc47515fa04c0fec1bf7c0c7362bc0a190ac7565a47f827c9cd,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.073238,51.563429,On or near STOKE NEWINGTON HIGH STREET,E01001805,Hackney 009B,Investigation complete; no suspect identified
d4c4ebf7bad97abcca4e18f1985bb154f32325e19c85b7adf6d1d6ab8849bf26,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.057001,51.538504,On or near MARE STREET,E01001839,Hackney 023C,Investigation complete; no suspect identified
dd521e15b631f099f0d292bfe63264f419ed43e915f4ade68b8ae7c1a9b3ae95,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.077035,51.554472,On or near PALATINE ROAD,E01001834,Hackney 014E,Investigation complete; no suspect identified
dd521e15b631f099f0d292bfe63264f419ed43e915f4ade68b8ae7c1a9b3ae95,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.077035,51.554472,On or near PALATINE ROAD,E01001834,Hackney 014E,Investigation complete; no suspect identified
dd521e15b631f099f0d292bfe63264f419ed43e915f4ade68b8ae7c1a9b3ae95,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.077035,51.554472,On or near PALATINE ROAD,E01001834,Hackney 014E,Investigation complete; no suspect identified
57541e41f2e301afe954728b39853e4103c37f6c96aa3b1eea7347823ece6539,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.067302,51.520689,On or near DEAL STREET,E01004308,Tower Hamlets 015C,Investigation complete; no suspect identified
