Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1a7c5b0451e2dea7ff5068ac5ddad96056e45c4e249bfdfaa3e06720a07baad2,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.211144,51.491596,On or near GLAZBURY ROAD,E01001872,Hammersmith and Fulham 012F,Investigation complete; no suspect identified
56fefc4d5cc4ee4292d519c00bb32c07c4b25933c9294ce0e8fa29fc7a380108,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.240752,51.492952,On or near AITEN PLACE,E01001933,Hammersmith and Fulham 011D,Investigation complete; no suspect identified
56fefc4d5cc4ee4292d519c00bb32c07c4b25933c9294ce0e8fa29fc7a380108,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.240752,51.492952,On or near AITEN PLACE,E01001933,Hammersmith and Fulham 011D,Investigation complete; no suspect identified
56fefc4d5cc4ee4292d519c00bb32c07c4b25933c9294ce0e8fa29fc7a380108,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.240752,51.492952,On or near AITEN PLACE,E01001933,Hammersmith and Fulham 011D,Investigation complete; no suspect identified
008183540c8e238191be81fdffd03286cc79012bed1c9677cba9d692dbb139e5,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.198235,51.478854,On or near PULTON PLACE,E01001947,Hammersmith and Fulham 021A,Investigation complete; no suspect identified
dbd090713f0fb48c3e8f3cabc54c6ed678bb70155af8fa7057f01d51abdb7605,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.225367,51.505562,On or near HOPGOOD STREET,E01001943,Hammersmith and Fulham 004A,Investigation complete; no suspect identified
bcdabac3fe283e77a056f8971c59e83a7ccb1ec43dc2237924683571ac98bdb2,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.249688,51.515756,On or near BRASSIE AVENUE,E01001878,Hammersmith and Fulham 001E,Investigation complete; no suspect identified
bcdabac3fe283e77a056f8971c59e83a7ccb1ec43dc2237924683571ac98bdb2,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.249688,51.515756,On or near BRASSIE AVENUE,E01001878,Hammersmith and Fulham 001E,Investigation complete; no suspect identified
bcdabac3fe283e77a056f8971c59e83a7ccb1ec43dc2237924683571ac98bdb2,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.249688,51.515756,On or near BRASSIE AVENUE,E01001878,Hammersmith and Fulham 001E,Investigation complete; no suspect identified
d15c5277c6453b5945f8ac44e0c202fcaa7e46bd654241285302cf458ebce4a4,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.213602,51.482156,On or near MUNSTER ROAD,E01001903,Hammersmith and Fulham 019D,Investigation complete; no suspect identified
